Location,Nestbox,Species,Year,Male.Wing.Chord,Male.Tarsus,Male.Bill,Male.Weight,Male.BillHead,Male.ID,Female.Wing.Chord,Female.Tarsus,Female.Bill,Female.Weight,Female.BillHead,Female.ID,Wing_Difference,Tarsus_Difference,Bill_Difference,Weight_Difference,Wing_Difference_Category,BillHead_Difference,Egg_Number,Nestling_Number,Avg_Nestling_Weight,Egg_Nestling_Diff,Pair.ID,Avg.Wing,Avg.Tarsus,Avg.Weight,Avg.Nestling.Wing,Avg.Nestling.Tarsus,MaleBander,FemaleBander,Elevation,Male_SMI,Female_SMI,male.logwing,female.logwing,male.logmass,female.logmass,First.Egg,Provisioning,Group
BLD,BLD-161,MOCH,2019,68,17.8,8.9,12,29.5,283031951,67,18,9.5,11,29.7,283031952,1,-0.2,-0.6,1,Slightly,-0.2,8,7,12,1,283031951-283031952,67.5,17.9,11.5,NA,17.94285714,KCG,KCG,1653.54,11.97791249,11.08105421,4.219507705,4.204692619,2.48490665,2.397895273,120,20,BLDN
BLD,BLD-334,MOCH,2019,71,18.6,8.8,12,30.6,283031954,65,19.3,8.7,9,29,209037443,6,-0.7,0.1,3,Much,1.6,8,8,NA,0,283031954-209037443,68,18.95,10.5,NA,19.9875,KCG,KF,1691.64,11.6616059,9.238249439,4.262679877,4.17438727,2.48490665,2.197224577,121,24,BLDM
BLD,CU-108,BCCH,2019,68,17.4,8.9,11,28.1,283031940,63,18.5,8.1,11.5,28.1,283031941,5,-1.1,0.8,-0.5,Much,0,7,6,NA,1,283031940-283031941,65.5,17.95,11.25,NA,16.91666667,KCG,KCG,1645.92,10.77433048,11.79171289,4.219507705,4.143134726,2.397895273,2.442347035,120,30,CU
BLD,CU-134,BCCH,2019,68,18.1,7.3,11,27.9,209037430,65,17.7,7.8,11.5,28.1,209037431,3,0.4,-0.5,-0.5,Slightly,-0.2,9,7,NA,2,209037430-209037431,66.5,17.9,11.25,NA,16.31428571,ANT,ANT,1645.92,10.77433048,11.57287387,4.219507705,4.17438727,2.397895273,2.442347035,120,25,CU
BLD,BLD-272,BCCH,2019,74,17.9,7.4,12,28,283031924,66,17.5,7.8,11,27,283031929,8,0.4,-0.4,1,Much,1,5,4,NA,1,283031924-283031929,70,17.7,11.5,NA,16.8,KCG,KCG,1653.54,11.17292377,10.96886343,4.304065093,4.189654742,2.48490665,2.397895273,116,37,BLDN
BLD,BLD-287,BCCH,2019,69,17.7,7.9,12,27.8,283031847,61,16.6,7.4,10,27,283031964,8,1.1,0.5,2,Much,0.8,6,5,9.2,1,283031847-283031964,65,17.15,11,NA,16.5,KCG,KCG,1661.16,11.65141006,10.45387296,4.234106505,4.110873864,2.48490665,2.302585093,135,14,BLDM
BLD,BLD-295,BCCH,2019,65,18.1,8,13,28.1,283031973,65,17.4,7.4,11,27.4,283031975,0,0.7,0.6,2,Same,0.7,6,0,11,6,283031973-283031975,65,17.75,12,NA,16.9,KCG,KCG,1691.64,13.08237916,11.06970544,4.17438727,4.17438727,2.564949357,2.397895273,125,13,BLDM
BLD,BLD-297,BCCH,2019,68,20.5,7.6,12,31,209037457,64,18.7,7.5,11,27.6,209037458,4,1.8,0.1,1,Much,3.4,6,6,NA,0,209037457-209037458,66,19.6,11.5,NA,18.8,ANT,ANT,1630.68,11.75381507,11.17305976,4.219507705,4.158883083,2.48490665,2.397895273,,7,BLDM
BLD,BLD-316,BCCH,2019,67,17.7,8.3,12,26.8,283031907,66,17.2,8.4,12,27.4,283031908,1,0.5,-0.1,0,Slightly,-0.6,7,1,NA,6,283031907-283031908,66.5,17.45,12,NA,NA,KCG,KCG,1653.54,11.85865742,11.96603284,4.204692619,4.189654742,2.48490665,2.48490665,114,9,BLDN
BLD,BLD-367,MOCH,2020,73,18.4,8.7,11,29.1,283032093,67,18.5,8.8,12,29.6,283032092,6,-0.1,-0.1,-1,Much,-0.5,8,4,11.75,4,283032093-283032092,70,18.45,11.5,NA,18.375,KCG,KCG,1798.32,10.50729701,12.08842278,4.290459441,4.204692619,2.397895273,2.48490665,126,12,SGRL
