Location,Nestbox,Species,Year,Wing.Chord,Sex,ID,Mass,SMI,logwing,logmass,Bander,Elevation
BLD,BLD-389,MOCH,2023,69,M,294018397,12.5,12.36458733,4.234106505,2.525728644,HLK,1813.56
BLD,BLD-161,MOCH,2023,68,M,297010704,10,9.981593739,4.219507705,2.302585093,WCA,1653.54
NED,NED-361,MOCH,2023,68,M,297010747,12,11.97791249,4.219507705,2.48490665,WCA,2560.32
MRS,MRS-60,MOCH,2023,68,M,297010786,11.5,11.4788328,4.219507705,2.442347035,WCA,3090.672
MRS,MRS-80,MOCH,2023,71,M,297010788,12.5,12.14750614,4.262679877,2.525728644,WCA,3060.192
SGR,SGR-171,MOCH,2023,69,M,POX92023,12.5,12.36458733,4.234106505,2.525728644,NCA,2522.22
SGR,SGR-172,MOCH,2023,66,M,297010850,12.5,12.71003926,4.189654742,2.525728644,NCA,2522.22
MRS,MRS-55,MOCH,2023,68,M,297010874,12,11.97791249,4.219507705,2.48490665,HLK,3002.28
NED,NED-404,MOCH,2023,69,M,297010877,13,12.85917082,4.234106505,2.564949357,,2590.8
NED,NED-342,MOCH,2023,70,M,297010934,12.5,12.25479082,4.248495242,2.525728644,HLK,2493.264
SGR,SGR-222,MOCH,2023,71,M,297010948,13,12.63340639,4.262679877,2.564949357,HLK,2519.172
SGR,SGR-156,MOCH,2023,67,M,297010959,13,13.09579134,4.204692619,2.564949357,HLK,2537.46
MRS,MRS-50,MOCH,2023,69,M,297010983,12.5,12.36458733,4.234106505,2.525728644,AMP,3176.016
MRS,MRS-48,MOCH,2023,71,M,297010984,10.5,10.20390516,4.262679877,2.351375257,AMP,3206.496
MRS,MRS-79,MOCH,2023,67,M,297091506,12,12.08842278,4.204692619,2.48490665,HLK,3017.52
MRS,MRS-29,MOCH,2023,70,M,297091531,12,11.76459919,4.248495242,2.48490665,HLK,3343.656
MRS,MRS-67,MOCH,2023,67,M,297091530,12,12.08842278,4.204692619,2.48490665,HLK,3340.608
MRS,MRS-57,MOCH,2023,69,M,297091538,12,11.87000384,4.234106505,2.48490665,HLK,3014.472
BLD,BLD-274,MOCH,2023,68,M,301041015,11.5,11.4788328,4.219507705,2.442347035,WCA,2929.128
MRS,MRS-38,MOCH,2023,68,M,301041022,11,10.97975311,4.219507705,2.397895273,WCA,3017.52
MRS,MRS-59,MOCH,2023,69,M,301041024,11,10.88083685,4.234106505,2.397895273,WCA,2999.232
MRS,MRS-83,MOCH,2023,72,M,301041052,11,10.59752465,4.276666119,2.397895273,WCA,2962.656
SGR,SGR-151,MOCH,2023,67,M,301041064,11.5,11.5847385,4.204692619,2.442347035,WCA,2522.22
SGR,SGR-169,MOCH,2022,68,M,291054121,11,10.97975311,4.219507705,2.397895273,WCA,2529.84
SGR,SGR-186,MOCH,2022,69,M,291054027,13,12.85917082,4.234106505,2.564949357,MEL,2468.88
SGR,SGR-200,MOCH,2022,69,M,291054132,12,11.87000384,4.234106505,2.48490665,ONT,2491.74
SGR,SGR-171,MOCH,2022,68,M,297010637,10.5,10.48067343,4.219507705,2.351375257,MEL,2522.22
SGR,SGR-189,MOCH,2022,70,M,297010638,12,11.76459919,4.248495242,2.48490665,MEL,2468.88
SGR,SGR-146,MOCH,2022,70,M,291054145,10.5,10.29402429,4.248495242,2.351375257,MEL,2535.936
SGR,SGR-163,MOCH,2022,73,M,POX32022,12.5,11.94011024,4.290459441,2.525728644,MEL,2522.22
